# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-04-01,97.84374,129375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-05-01,96.72483000000001,183750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-06-01,96.0176,-37500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-07-01,92.8471,-500000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-08-01,92.016785,-655000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-09-01,92.54073000000001,-670625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-10-01,94.42154000000001,96875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-11-01,96.42759000000001,124375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2016-12-01,95.488525,-428750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-01-01,97.15859,-218125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-02-01,97.05498,-193750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-03-01,96.56217,-26875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-04-01,97.097916,-211875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-05-01,97.58910999999999,-192500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-06-01,95.25486,-3750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-07-01,93.99239,-168125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-08-01,92.71625,-568750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-09-01,93.290306,-416875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-10-01,92.77691,-622500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-11-01,94.48292,-501250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2017-12-01,97.459816,-75000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-01-01,96.94375,-58750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-02-01,96.04057,-123125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-03-01,96.68994,-70000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-04-01,97.227234,67500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-05-01,96.61435999999999,245000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-06-01,95.08251,526875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-07-01,93.736046,-448125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-08-01,93.76078000000001,-180000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-09-01,94.1648,-544375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-10-01,90.22228,-890625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-11-01,94.13859599999999,-862500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2018-12-01,95.71013,-449375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-01-01,96.69561999999999,-311250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-02-01,95.612206,-266875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-03-01,96.66617,-203750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-04-01,96.52953000000001,162500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-05-01,98.02775,1875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-06-01,95.75358,-236250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-07-01,92.93393,-531875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-08-01,94.25973499999999,-641875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-09-01,93.61304,-633125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-10-01,89.94265,-1235000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-11-01,95.00333,-704375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2019-12-01,97.79718000000001,-198750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-01-01,95.984505,-374375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-02-01,97.614235,-92500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-03-01,97.400085,-98125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-04-01,97.0919,-55625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-05-01,97.143974,-115625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-06-01,95.86359,-205000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-07-01,93.52931,-196875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-08-01,95.48146,-170625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-09-01,94.17520999999999,-166875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-10-01,93.36462,-758750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-11-01,93.47341,-513750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,1,2020-12-01,96.24264000000001,-586250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-01-01,96.02384,235000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-02-01,96.01975,72500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-03-01,95.26668000000001,-413125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-04-01,95.05594,-523750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-05-01,96.23745,-148750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-06-01,93.34434,328125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-07-01,92.007774,-53125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-08-01,90.24481,-347500.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-09-01,93.75878,156875.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-10-01,91.69155,74375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-11-01,95.19505,-353750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2012-12-01,95.32976,36250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-01-01,96.737976,-323750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-02-01,96.576035,-304375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-03-01,96.08676,-29375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-04-01,95.78671999999999,-123125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-05-01,96.52338,-76250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-06-01,94.407776,-313125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-07-01,91.84239000000001,274375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-08-01,93.34577,-85625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2013-09-01,91.73910500000001,-140625.0
